"","x"
"1","Erlotinib"
"2","Rapamycin"
"3","Sunitinib"
"4","PHA-665752"
"5","MG-132"
"6","Paclitaxel"
"7","Cyclopamine"
"8","AZ628"
"9","Sorafenib"
"10","VX-680"
"11","Imatinib"
"12","TAE684"
"13","Crizotinib"
"14","Saracatinib"
"15","S-Trityl-L-cysteine"
"16","Z-LLNle-CHO"
"17","Dasatinib"
"18","GNF-2"
"19","CGP-60474"
"20","CGP-082996"
"21","A-770041"
"22","WH-4-023"
"23","WZ-1-84"
"24","BI-2536"
"25","BMS-536924"
"26","BMS-509744"
"27","CMK"
"28","Pyrimethamine"
"29","JW-7-52-1"
"30","A-443654"
"31","GW843682X"
"32","MS-275"
"33","Parthenolide"
"34","KIN001-135"
"35","TGX221"
"36","Bortezomib"
"37","XMD8-85"
"38","Roscovitine"
"39","Salubrinal"
"40","Lapatinib"
"41","GSK269962A"
"42","Doxorubicin"
"43","Etoposide"
"44","Gemcitabine"
"45","Mitomycin C"
"46","Vinorelbine"
"47","NSC-87877"
"48","Bicalutamide"
"49","QS11"
"50","CP466722"
"51","Midostaurin"
"52","CHIR-99021"
"53","AP-24534"
"54","AZD6482"
"55","JNK-9L"
"56","PF-562271"
"57","HG-6-64-1"
"58","JQ1"
"59","JQ12"
"60","DMOG"
"61","FTI-277"
"62","OSU-03012"
"63","Shikonin"
"64","AKT inhibitor VIII"
"65","Embelin"
"66","FH535"
"67","PAC-1"
"68","IPA-3"
"69","GSK-650394"
"70","BAY 61-3606"
"71","5-Fluorouracil"
"72","Thapsigargin"
"73","Obatoclax Mesylate"
"74","BMS-754807"
"75","Lisitinib"
"76","Bexarotene"
"77","Bleomycin"
"78","LFM-A13"
"79","GW-2580"
"80","AUY922"
"81","Phenformin"
"82","Bryostatin 1"
"83","Pazopanib"
"84","LAQ824"
"85","Epothilone B"
"86","GSK1904529A"
"87","BMS345541"
"88","Tipifarnib"
"89","BMS-708163"
"90","Ruxolitinib"
"91","AS601245"
"92","Ispinesib Mesylate"
"93","TL-2-105"
"94","AT-7519"
"95","TAK-715"
"96","BX-912"
"97","ZSTK474"
"98","AS605240"
"99","Genentech Cpd 10"
"100","GSK1070916"
"101","KIN001-102"
"102","LY317615"
"103","GSK429286A"
"104","FMK"
"105","QL-XII-47"
"106","CAL-101"
"107","UNC0638"
"108","XL-184"
"109","WZ3105"
"110","XMD14-99"
"111","AC220"
"112","CP724714"
"113","JW-7-24-1"
"114","NPK76-II-72-1"
"115","STF-62247"
"116","NG-25"
"117","TL-1-85"
"118","VX-11e"
"119","FR-180204"
"120","Tubastatin A"
"121","Zibotentan"
"122","YM155"
"123","NSC-207895"
"124","VNLG/124"
"125","AR-42"
"126","CUDC-101"
"127","Belinostat"
"128","I-BET-762"
"129","CAY10603"
"130","Linifanib "
"131","BIX02189"
"132","CH5424802"
"133","EKB-569"
"134","GSK2126458"
"135","KIN001-236"
"136","KIN001-244"
"137","KIN001-055"
"138","KIN001-260"
"139","KIN001-266"
"140","Masitinib"
"141","MP470"
"142","MPS-1-IN-1"
"143","BHG712"
"144","OSI-930"
"145","OSI-027"
"146","CX-5461"
"147","PHA-793887"
"148","PI-103"
"149","PIK-93"
"150","SB52334"
"151","TPCA-1"
"152","TG101348"
"153","Foretinib"
"154","Y-39983"
"155","YM201636"
"156","Tivozanib"
"157","GSK690693"
"158","SNX-2112"
"159","QL-XI-92"
"160","XMD13-2"
"161","QL-X-138"
"162","XMD15-27"
"163","T0901317"
"164","EX-527"
"165","THZ-2-49"
"166","KIN001-270"
"167","THZ-2-102-1"
"168","AICAR"
"169","Camptothecin"
"170","Vinblastine"
"171","Cisplatin"
"172","Cytarabine"
"173","Docetaxel"
"174","Methotrexate"
"175","ATRA"
"176","Gefitinib"
"177","Navitoclax"
"178","Vorinostat"
"179","Nilotinib"
"180","RDEA119"
"181","CI-1040"
"182","Temsirolimus"
"183","Olaparib"
"184","Veliparib"
"185","Bosutinib"
"186","Lenalidomide"
"187","Axitinib"
"188","AZD7762"
"189","GW 441756"
"190","CEP-701"
"191","SB 216763"
"192","17-AAG"
"193","VX-702"
"194","AMG-706"
"195","KU-55933"
"196","Elesclomol"
"197","Afatinib"
"198","GDC0449"
"199","PLX4720"
"200","BX-795"
"201","NU-7441"
"202","SL 0101-1"
"203","BIRB 0796"
"204","JNK Inhibitor VIII"
"205","681640"
"206","Nutlin-3a (-)"
"207","PD-173074"
"208","ZM-447439"
"209","RO-3306"
"210","MK-2206"
"211","PD-0332991"
"212","BEZ235"
"213","GDC0941"
"214","AZD8055"
"215","PD-0325901"
"216","SB590885"
"217","selumetinib"
"218","CCT007093"
"219","EHT 1864"
"220","Cetuximab"
"221","PF-4708671"
"222","JNJ-26854165"
"223","HG-5-113-01"
"224","HG-5-88-01"
"225","TW 37"
"226","XMD11-85h"
"227","ZG-10"
"228","XMD8-92"
"229","QL-VIII-58"
"230","CCT018159"
"231","AG-014699"
"232","SB 505124"
"233","Tamoxifen"
"234","QL-XII-61"
"235","PFI-1"
"236","IOX2"
"237","YK 4-279"
"238","(5Z)-7-Oxozeaenol"
"239","piperlongumine"
"240","FK866"
"241","Talazoparib"
"242","rTRAIL"
"243","UNC1215"
"244","SGC0946"
"245","XAV939"
"246","Trametinib"
"247","Dabrafenib"
"248","Temozolomide"
"249","Bleomycin (50 uM)"
"250","SN-38"
"251","MLN4924"
